TEXT,LABELS,BOUNDING_BOXES,token_ids,tokenized_text,tokenized_text_label_ids,tokenized_text_label
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
 , , ,0,[PAD],-100,O
I,O,"[0, 487, 4, 493]",101,[CLS],-100,O
e,O,"[24, 362, 31, 370]",1045,i,34,O
TO,O,"[46, 181, 63, 197]",1041,e,34,O
:,O,"[66, 181, 71, 195]",2000,to,34,O
KB,S-consinee_name,"[91, 181, 107, 195]",1024,:,34,O
CONTROLSYSTEM,S-consinee_name,"[119, 178, 235, 195]",21677,kb,17,S-consinee_name
Add,O,"[71, 210, 102, 226]",7711,controls,17,S-consinee_name
:,O,"[101, 210, 107, 223]",27268,##yst,-100,O
Total,O,"[44, 401, 79, 409]",6633,##em,-100,O
:,O,"[83, 401, 88, 409]",5587,add,34,O
东台市,O,"[315, 103, 383, 120]",1024,:,34,O
亨利,O,"[388, 103, 433, 120]",2561,total,34,O
通,O,"[438, 103, 460, 120]",1024,:,34,O
电子,O,"[463, 105, 506, 122]",100,[UNK],34,O
元器件,O,"[509, 105, 579, 122]",100,[UNK],-100,O
有限公司,O,"[581, 105, 674, 124]",100,[UNK],-100,O
DONGTAI,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[186, 126, 267, 142]",100,[UNK],34,O
SHI,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[282, 128, 317, 141]",100,[UNK],-100,O
HENG,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[330, 129, 378, 142]",100,[UNK],34,O
LI,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[393, 129, 413, 142]",100,[UNK],34,O
TONG,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[430, 129, 475, 143]",1816,子,-100,O
ELECTRONIC,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[488, 129, 607, 145]",1769,元,34,O
ELEMENT,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[621, 130, 705, 146]",100,[UNK],-100,O
CO,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[720, 131, 742, 146]",100,[UNK],-100,O
.,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[745, 133, 750, 146]",1873,有,34,O
",",S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[757, 133, 762, 146]",100,[UNK],-100,O
LTD,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[767, 133, 803, 146]",1772,公,-100,O
TEL,O,"[240, 147, 264, 157]",1791,司,-100,O
:,O,"[267, 147, 270, 157]",11947,dong,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
86-515-85033088,O,"[272, 146, 390, 158]",15444,##tai,-100,O
FAX,O,"[410, 148, 430, 158]",11895,shi,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
:,O,"[435, 148, 436, 158]",21863,hen,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
86-515-68839816,O,"[438, 147, 556, 159]",2290,##g,-100,O
Http://www.dthlt.com,O,"[589, 148, 747, 162]",5622,li,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
PROFORMA,O,"[387, 166, 491, 178]",15740,tong,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
INVOICE,O,"[511, 166, 601, 178]",4816,electronic,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
DIN,O,"[88, 239, 141, 253]",5783,element,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
Tel,O,"[66, 255, 91, 266]",2522,co,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
:,O,"[93, 255, 99, 266]",1012,.,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
00919879038554,O,"[111, 253, 244, 267]",1010,",",39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
Contact,O,"[64, 272, 129, 285]",5183,ltd,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
Mr.,O,"[146, 273, 169, 285]",10093,tel,34,O
KIRAN,O,"[182, 274, 229, 286]",1024,:,34,O
AMIN,O,"[237, 275, 274, 286]",6564,86,34,O
Sender,O,"[46, 288, 101, 302]",1011,-,-100,O
:,O,"[104, 288, 109, 302]",4868,51,-100,O
DONGTAI,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[121, 288, 182, 302]",2629,##5,-100,O
SHI,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[192, 288, 217, 303]",1011,-,-100,O
HENG,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[229, 290, 264, 303]",15678,850,-100,O
LI,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[277, 290, 292, 303]",22394,##33,-100,O
TONG,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[303, 290, 340, 303]",2692,##0,-100,O
ELECTRONIC,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[360, 290, 450, 305]",2620,##8,-100,O
ELEMENT,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[461, 291, 524, 305]",2620,##8,-100,O
CO,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[534, 292, 549, 305]",6904,fa,34,O
.,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[553, 292, 556, 305]",2595,##x,-100,O
",",S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[563, 292, 566, 305]",1024,:,34,O
LTD,S-drawer_exporter_seller_beneficiary_issuer_supplier_name,"[571, 292, 598, 305]",6564,86,34,O
(,O,"[602, 292, 607, 305]",1011,-,-100,O
TEL,O,"[609, 292, 634, 305]",4868,51,-100,O
:,O,"[637, 293, 641, 307]",2629,##5,-100,O
86-515-85033088,O,"[644, 292, 782, 308]",1011,-,-100,O
),O,"[784, 293, 790, 307]",6273,68,-100,O
Add,O,"[64, 309, 91, 324]",2620,##8,-100,O
Northern,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[101, 309, 174, 324]",23499,##39,-100,O
Industrial,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[184, 309, 272, 326]",2620,##8,-100,O
Park,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[285, 310, 318, 325]",16048,##16,-100,O
of,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[330, 310, 348, 325]",8299,http,34,O
Anfeng,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[358, 310, 411, 326]",1024,:,-100,O
",",S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[415, 311, 416, 326]",1013,/,-100,O
Dongtai,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[423, 311, 485, 326]",1013,/,-100,O
",",S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[488, 311, 490, 326]",7479,www,-100,O
Jiangsu,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[496, 311, 559, 326]",1012,.,-100,O
",",S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[561, 313, 564, 327]",26718,dt,-100,O
China,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[569, 313, 614, 327]",7317,##hl,-100,O
(,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[617, 313, 622, 327]",2102,##t,-100,O
224221,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[626, 313, 677, 327]",1012,.,-100,O
),S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[681, 313, 686, 327]",4012,com,-100,O
40,S-drawer_exporter_seller_beneficiary_issuer_supplier_address,"[116, 304, 136, 311]",11268,prof,34,O
Description,O,"[46, 326, 147, 338]",2953,##or,-100,O
and,O,"[161, 327, 186, 337]",2863,##ma,-100,O
Quantify,O,"[196, 327, 270, 338]",1999,in,34,O
of,O,"[282, 328, 300, 338]",6767,##vo,-100,O
Goods,O,"[310, 328, 357, 338]",6610,##ice,-100,O
:,O,"[360, 328, 365, 338]",11586,din,34,O
IM,O,"[112, 397, 134, 405]",10093,tel,34,O
B,S-consignee_address,"[151, 201, 159, 212]",1024,:,34,O
/,S-consignee_address,"[159, 201, 166, 212]",4002,00,34,O
78,S-consignee_address,"[167, 201, 186, 212]",2683,##9,-100,O
",",S-consignee_address,"[189, 201, 192, 212]",16147,##19,-100,O
SAUTANYA,S-consignee_address,"[205, 200, 279, 214]",2620,##8,-100,O
SOCIETY,S-consignee_address,"[289, 203, 352, 214]",2581,##7,-100,O
",",S-consignee_address,"[355, 203, 357, 214]",21057,##90,-100,O
NEAR,S-consignee_address,"[363, 203, 400, 214]",22025,##38,-100,O
PARASNAGAR,S-consignee_address,"[151, 218, 239, 228]",24087,##55,-100,O
",",S-consignee_address,"[242, 218, 245, 228]",2549,##4,-100,O
VATVA,S-consignee_address,"[252, 218, 295, 228]",3967,contact,34,O
ROAD,S-consignee_address,"[307, 218, 343, 228]",2720,mr,34,O
",",S-consignee_address,"[345, 218, 348, 228]",1012,.,-100,O
PO,O,"[44, 351, 59, 360]",22403,kiran,34,O
Number,O,"[68, 351, 114, 360]",24432,amin,34,O
Part,O,"[149, 351, 176, 360]",4604,send,34,O
No.,O,"[186, 351, 205, 359]",2121,##er,-100,O
JCT,O,"[149, 379, 172, 388]",1024,:,34,O
-,O,"[172, 379, 179, 388]",11947,dong,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
001,O,"[181, 379, 200, 388]",15444,##tai,-100,O
41,O,"[111, 426, 131, 435]",11895,shi,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
ISANPUR,S-consignee_address,"[151, 238, 212, 250]",21863,hen,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
",",S-consignee_address,"[215, 238, 219, 250]",2290,##g,-100,O
382443,S-consignee_address,"[232, 238, 287, 250]",5622,li,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
",",S-consignee_address,"[289, 238, 290, 250]",15740,tong,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
AHMEDABAD,S-consignee_address,"[299, 238, 378, 251]",4816,electronic,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
",",S-consignee_address,"[382, 239, 383, 251]",5783,element,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
GUJARAT,S-consignee_address,"[400, 239, 460, 251]",2522,co,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
",",S-consignee_address,"[465, 239, 468, 251]",1012,.,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
INDIA,S-consignee_address,"[475, 239, 519, 251]",1010,",",39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
Fax,O,"[378, 258, 405, 267]",5183,ltd,39,S-drawer_exporter_seller_beneficiary_issuer_supplier_name
:,O,"[408, 258, 413, 267]",1006,(,34,O
Please,O,"[63, 536, 117, 550]",10093,tel,34,O
Remit,O,"[129, 536, 171, 548]",1024,:,34,O
the,O,"[184, 538, 207, 550]",6564,86,34,O
Payment,O,"[217, 536, 280, 551]",1011,-,-100,O
US,O,"[292, 539, 308, 551]",4868,51,-100,O
$,O,"[312, 539, 317, 551]",2629,##5,-100,O
1575.00,O,"[320, 538, 383, 552]",1011,-,-100,O
through,O,"[397, 540, 456, 553]",15678,850,-100,O
BANK,O,"[182, 556, 219, 567]",22394,##33,-100,O
OF,O,"[224, 556, 242, 567]",2692,##0,-100,O
AMERICA,O,"[254, 556, 320, 567]",2620,##8,-100,O
",",O,"[320, 556, 323, 567]",2620,##8,-100,O
NEW,O,"[338, 556, 365, 567]",1007,),34,O
YORK,O,"[377, 557, 413, 568]",5587,add,34,O
SWIFT,O,"[182, 574, 227, 586]",2642,northern,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
BIC,O,"[235, 574, 262, 586]",3919,industrial,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
:,O,"[267, 574, 272, 586]",2380,park,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
BOFAUS3N,O,"[282, 574, 357, 586]",1997,of,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
1,O,"[102, 581, 117, 588]",2019,an,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
IN,O,"[63, 591, 79, 600]",24383,##feng,-100,O
FAVOUR,O,"[91, 591, 144, 600]",1010,",",49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
OF,O,"[154, 591, 172, 600]",11947,dong,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
DELIVERY,O,"[44, 444, 119, 458]",15444,##tai,-100,O
TIME,O,"[131, 446, 166, 458]",1010,",",49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
:,O,"[169, 447, 174, 458]",28091,jiangsu,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
I,O,"[79, 459, 89, 465]",1010,",",49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
Deliver,O,"[44, 465, 107, 477]",2859,china,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
to,O,"[119, 465, 136, 477]",1006,(,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
shipping,O,"[147, 465, 217, 477]",19711,224,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
agent,O,"[229, 465, 272, 478]",19317,##22,-100,O
by,O,"[284, 466, 300, 478]",2487,##1,-100,O
UPS,O,"[310, 466, 337, 478]",1007,),49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
before,O,"[350, 466, 403, 478]",2871,40,49,S-drawer_exporter_seller_beneficiary_issuer_supplier_address
2012-08-31,O,"[415, 466, 506, 480]",6412,description,34,O
PAYMENT,O,"[44, 483, 111, 495]",1998,and,34,O
TERMS,O,"[119, 483, 166, 495]",24110,quan,34,O
:,O,"[169, 483, 174, 495]",27351,##tify,-100,O
T,S-payment_terms,"[184, 483, 192, 495]",1997,of,34,O
/,S-payment_terms,"[194, 483, 202, 495]",5350,goods,34,O
T,S-payment_terms,"[202, 483, 210, 495]",1024,:,34,O
IN,S-payment_terms,"[220, 483, 237, 495]",10047,im,34,O
ADVANCE,S-payment_terms,"[247, 483, 312, 496]",1038,b,8,S-consignee_address
Shipping,O,"[44, 501, 119, 512]",1013,/,8,S-consignee_address
Agent,O,"[127, 501, 176, 512]",6275,78,8,S-consignee_address
:,O,"[179, 501, 182, 512]",1010,",",8,S-consignee_address
VIA,O,"[192, 501, 219, 512]",7842,sa,8,S-consignee_address
COURIER,O,"[230, 501, 295, 512]",13210,##uta,-100,O
UPS,O,"[305, 501, 332, 512]",17238,##nya,-100,O
1,O,"[19, 519, 24, 524]",2554,society,8,S-consignee_address
BANK,O,"[44, 517, 83, 529]",1010,",",8,S-consignee_address
INFORMATION,O,"[93, 516, 192, 530]",2379,near,8,S-consignee_address
:,O,"[197, 518, 202, 530]",11498,para,8,S-consignee_address
Description,O,"[478, 355, 564, 365]",2015,##s,-100,O
PIUG,S-goods_description,"[478, 382, 509, 390]",14346,##nagar,-100,O
FOR,O,"[63, 644, 89, 656]",1010,",",8,S-consignee_address
FURTHER,O,"[99, 643, 164, 657]",12436,va,8,S-consignee_address
CREDIT,O,"[172, 645, 225, 659]",9189,##tv,-100,O
TO,O,"[235, 645, 255, 657]",2050,##a,-100,O
CHINA,S-beneficiary_bank_swift,"[172, 609, 219, 621]",2346,road,8,S-consignee_address
CONSTRUCTION,S-beneficiary_bank_swift,"[227, 608, 335, 622]",1010,",",8,S-consignee_address
BANK,S-beneficiary_bank_swift,"[347, 610, 382, 622]",13433,po,34,O
",",S-beneficiary_bank_swift,"[387, 610, 388, 622]",2193,number,34,O
JANGSU,S-beneficiary_bank_address,"[405, 610, 458, 622]",2112,part,34,O
BRANCH,O,"[468, 610, 521, 623]",2053,no,34,O
SWIFT,O,"[171, 626, 219, 639]",1012,.,-100,O
BIC,O,"[225, 626, 254, 639]",29175,jc,34,O
:,O,"[257, 626, 262, 639]",2102,##t,-100,O
PCBCCNBJJSX,S-beneficiary_bank_swift,"[274, 626, 375, 642]",1011,-,34,O
DONGTAI,O,"[172, 663, 234, 677]",25604,001,34,O
SHI,O,"[245, 663, 272, 675]",4601,41,34,O
HENG,O,"[282, 663, 317, 677]",18061,isa,8,S-consignee_address
LI,O,"[328, 665, 343, 677]",16275,##np,-100,O
TONG,O,"[357, 665, 393, 677]",3126,##ur,-100,O
ELECTRONIC,O,"[403, 665, 493, 679]",1010,",",8,S-consignee_address
ELEMENT,O,"[504, 666, 564, 680]",4229,38,8,S-consignee_address
CO,O,"[578, 667, 594, 679]",18827,##24,-100,O
.,O,"[596, 667, 599, 679]",23777,##43,-100,O
",",O,"[604, 667, 607, 679]",1010,",",8,S-consignee_address
LTD,O,"[614, 667, 641, 679]",27249,ahmedabad,8,S-consignee_address
A,O,"[171, 681, 179, 692]",1010,",",8,S-consignee_address
/,O,"[179, 681, 187, 692]",14288,gujarat,8,S-consignee_address
C,O,"[191, 681, 199, 692]",1010,",",8,S-consignee_address
NO,O,"[209, 681, 225, 692]",2634,india,8,S-consignee_address
.,O,"[227, 681, 230, 692]",6904,fa,34,O
32014230100229501049,S-beneficiary_account_no,"[255, 681, 438, 695]",2595,##x,-100,O
JESSE,O,"[568, 723, 612, 732]",1024,:,34,O
Quantity,O,"[656, 349, 720, 357]",3531,please,34,O
UnitPrice,O,"[737, 349, 807, 357]",2128,re,34,O
(,O,"[810, 349, 815, 357]",22930,##mit,-100,O
T,O,"[815, 349, 822, 357]",1996,the,34,O
/,O,"[825, 350, 832, 359]",7909,payment,34,O
T,O,"[832, 350, 838, 359]",2149,us,34,O
),O,"[838, 350, 843, 359]",1002,$,34,O
(,O,"[657, 361, 664, 371]",17403,157,34,O
nes,O,"[666, 361, 689, 371]",2629,##5,-100,O
),O,"[687, 361, 694, 371]",1012,.,-100,O
(,O,"[739, 363, 744, 372]",4002,00,-100,O
FOB,O,"[744, 363, 767, 372]",2083,through,34,O
),O,"[774, 363, 780, 372]",2924,bank,34,O
Signature,O,"[476, 756, 558, 769]",1997,of,34,O
&,O,"[568, 758, 576, 767]",2637,america,34,O
Company,O,"[584, 758, 649, 770]",1010,",",34,O
Chop,S-stamped,"[661, 759, 696, 769]",2047,new,34,O
Date,O,"[493, 776, 531, 785]",2259,york,34,O
:,O,"[533, 776, 538, 785]",9170,swift,34,O
2012-08-13,O,"[539, 776, 631, 785]",12170,bi,34,O
1000,S-quantity,"[700, 384, 730, 391]",2278,##c,-100,O
FOR,O,"[438, 835, 476, 850]",1024,:,34,O
",",O,"[480, 835, 483, 848]",8945,bo,34,O
K.,S-diclaration_by,"[488, 835, 508, 848]",7011,##fa,-100,O
B.,S-diclaration_by,"[511, 835, 531, 848]",2271,##us,-100,O
CONTROL,S-diclaration_by,"[538, 833, 634, 848]",2509,##3,-100,O
SYSTEM,S-diclaration_by,"[641, 831, 720, 847]",2078,##n,-100,O
1LB,S-signed_by,"[513, 854, 573, 875]",1015,1,34,O
Arri,S-signed_by,"[591, 854, 657, 874]",1999,in,34,O
40,S-stamped,"[707, 729, 730, 744]",7927,favour,34,O
PROPRIETOR,O,"[589, 877, 719, 892]",1997,of,34,O
FTBA,S-stamped,"[719, 660, 808, 697]",6959,delivery,34,O
eft,S-stamped,"[720, 737, 742, 754]",2051,time,34,O
$,S-unit,"[803, 384, 810, 392]",1024,:,34,O
0.65,S-unit,"[810, 384, 840, 392]",1045,i,34,O
$,O,"[882, 385, 887, 392]",8116,deliver,34,O
650.00,O,"[887, 385, 933, 392]",2000,to,34,O
$,O,"[882, 408, 888, 417]",7829,shipping,34,O
650.00,S-total_amount_in_numeric,"[888, 408, 935, 417]",4005,agent,34,O
Amount,O,"[855, 357, 901, 367]",2011,by,34,O
A,S-stamped,"[784, 694, 825, 723]",11139,ups,34,O
 , , ,2077,before,34,O
 , , ,2262,2012,34,O
 , , ,1011,-,-100,O
 , , ,5511,08,-100,O
 , , ,1011,-,-100,O
 , , ,2861,31,-100,O
 , , ,7909,payment,34,O
 , , ,3408,terms,34,O
 , , ,1024,:,34,O
 , , ,1056,t,60,S-payment_terms
 , , ,1013,/,60,S-payment_terms
 , , ,1056,t,60,S-payment_terms
 , , ,1999,in,60,S-payment_terms
 , , ,5083,advance,60,S-payment_terms
 , , ,7829,shipping,34,O
 , , ,4005,agent,34,O
 , , ,1024,:,34,O
 , , ,3081,via,34,O
 , , ,18092,courier,34,O
 , , ,11139,ups,34,O
 , , ,1015,1,34,O
 , , ,2924,bank,34,O
 , , ,2592,information,34,O
 , , ,1024,:,34,O
 , , ,6412,description,34,O
 , , ,14255,pi,27,S-goods_description
 , , ,15916,##ug,-100,O
 , , ,2005,for,34,O
 , , ,2582,further,34,O
 , , ,4923,credit,34,O
 , , ,2000,to,34,O
 , , ,2859,china,44,S-beneficiary_bank_swift
 , , ,2810,construction,44,S-beneficiary_bank_swift
 , , ,2924,bank,44,S-beneficiary_bank_swift
 , , ,1010,",",44,S-beneficiary_bank_swift
 , , ,23769,jang,21,S-beneficiary_bank_address
 , , ,6342,##su,-100,O
 , , ,3589,branch,34,O
 , , ,9170,swift,34,O
 , , ,12170,bi,34,O
 , , ,2278,##c,-100,O
 , , ,1024,:,34,O
 , , ,7473,pc,44,S-beneficiary_bank_swift
 , , ,9818,##bc,-100,O
 , , ,2278,##c,-100,O
 , , ,27698,##nb,-100,O
 , , ,3501,##j,-100,O
 , , ,22578,##js,-100,O
 , , ,2595,##x,-100,O
 , , ,11947,dong,34,O
 , , ,15444,##tai,-100,O
 , , ,11895,shi,34,O
 , , ,21863,hen,34,O
 , , ,2290,##g,-100,O
 , , ,5622,li,34,O
 , , ,15740,tong,34,O
 , , ,4816,electronic,34,O
 , , ,5783,element,34,O
 , , ,2522,co,34,O
 , , ,1012,.,34,O
 , , ,1010,",",34,O
 , , ,5183,ltd,34,O
 , , ,1037,a,34,O
 , , ,1013,/,34,O
 , , ,1039,c,34,O
 , , ,2053,no,34,O
 , , ,1012,.,34,O
 , , ,13710,320,5,S-beneficiary_account_no
 , , ,16932,##14,-100,O
 , , ,21926,##23,-100,O
 , , ,24096,##01,-100,O
 , , ,8889,##00,-100,O
 , , ,19317,##22,-100,O
 , , ,2683,##9,-100,O
 , , ,12376,##50,-100,O
 , , ,10790,##10,-100,O
 , , ,26224,##49,-100,O
 , , ,7627,jesse,34,O
 , , ,11712,quantity,34,O
 , , ,3131,unit,34,O
 , , ,18098,##pr,-100,O
 , , ,6610,##ice,-100,O
 , , ,1006,(,34,O
 , , ,1056,t,34,O
 , , ,1013,/,34,O
 , , ,1056,t,34,O
 , , ,1007,),34,O
 , , ,1006,(,34,O
 , , ,24524,nes,34,O
 , , ,1007,),34,O
 , , ,1006,(,34,O
 , , ,1042,f,34,O
 , , ,16429,##ob,-100,O
 , , ,1007,),34,O
 , , ,8085,signature,34,O
